outcome,p_exact,p_vae,p_train,p_unif
"(2, 3, 3, 0)",0.0011574074074074078,0.00381,0.00125,0.00390625
"(2, 3, 3, 1)",0.00501543209876543,0.00511,0.00875,0.00390625
"(2, 3, 3, 2)",0.009645061728395061,0.0056,0.00875,0.00390625
"(2, 3, 3, 3)",0.00501543209876543,0.00478,0.00625,0.00390625
"(3, 0, 0, 0)",0.010416666666666668,0.00681,0.00875,0.00390625
"(3, 0, 0, 1)",0.0034722222222222233,0.00274,0.0025,0.00390625
"(3, 0, 0, 2)",0.0034722222222222233,0.00444,0.0025,0.00390625
"(3, 0, 0, 3)",0.0034722222222222233,0.00341,0.0025,0.00390625
"(3, 0, 1, 0)",0.0034722222222222233,0.00298,0.00625,0.00390625
"(3, 0, 1, 1)",0.0011574074074074078,0.00233,0.00125,0.00390625
"(3, 0, 1, 2)",0.0011574074074074078,0.00213,0.0,0.00390625
"(3, 0, 1, 3)",0.0011574074074074078,0.00261,0.005,0.00390625
"(3, 0, 2, 0)",0.0034722222222222233,0.00406,0.005,0.00390625
"(3, 0, 2, 1)",0.0011574074074074078,0.00382,0.0025,0.00390625
"(3, 0, 2, 2)",0.0011574074074074078,0.00399,0.00375,0.00390625
"(3, 0, 2, 3)",0.0011574074074074078,0.00337,0.00375,0.00390625
"(3, 0, 3, 0)",0.0034722222222222233,0.00392,0.0025,0.00390625
"(3, 0, 3, 1)",0.0011574074074074078,0.00273,0.0,0.00390625
"(3, 0, 3, 2)",0.0011574074074074078,0.00263,0.0,0.00390625
"(3, 0, 3, 3)",0.0011574074074074078,0.00297,0.0,0.00390625
"(3, 1, 0, 0)",0.0034722222222222233,0.00313,0.00375,0.00390625
"(3, 1, 0, 1)",0.0011574074074074078,0.00256,0.00125,0.00390625
"(3, 1, 0, 2)",0.0011574074074074078,0.00285,0.00125,0.00390625
"(3, 1, 0, 3)",0.0011574074074074078,0.00268,0.0,0.00390625
"(3, 1, 1, 0)",0.0011574074074074078,0.00299,0.0025,0.00390625
"(3, 1, 1, 1)",0.00501543209876543,0.00594,0.00875,0.00390625
"(3, 1, 1, 2)",0.009645061728395061,0.00381,0.005,0.00390625
"(3, 1, 1, 3)",0.00501543209876543,0.00554,0.0025,0.00390625
"(3, 1, 2, 0)",0.0011574074074074078,0.00365,0.0,0.00390625
"(3, 1, 2, 1)",0.009645061728395061,0.00566,0.01,0.00390625
"(3, 1, 2, 2)",0.00501543209876543,0.00557,0.00375,0.00390625
"(3, 1, 2, 3)",0.00501543209876543,0.00606,0.00625,0.00390625
"(3, 1, 3, 0)",0.0011574074074074078,0.00346,0.0,0.00390625
"(3, 1, 3, 1)",0.00501543209876543,0.00604,0.005,0.00390625
"(3, 1, 3, 2)",0.00501543209876543,0.00531,0.0075,0.00390625
"(3, 1, 3, 3)",0.009645061728395061,0.0056,0.015,0.00390625
"(3, 2, 0, 0)",0.0034722222222222233,0.0023,0.00125,0.00390625
"(3, 2, 0, 1)",0.0011574074074074078,0.00194,0.00125,0.00390625
"(3, 2, 0, 2)",0.0011574074074074078,0.00311,0.00125,0.00390625
"(3, 2, 0, 3)",0.0011574074074074078,0.00266,0.0025,0.00390625
"(3, 2, 1, 0)",0.0011574074074074078,0.00193,0.0,0.00390625
"(3, 2, 1, 1)",0.009645061728395061,0.00389,0.0075,0.00390625
"(3, 2, 1, 2)",0.00501543209876543,0.00379,0.0025,0.00390625
"(3, 2, 1, 3)",0.00501543209876543,0.00396,0.005,0.00390625
"(3, 2, 2, 0)",0.0011574074074074078,0.00248,0.0,0.00390625
"(3, 2, 2, 1)",0.00501543209876543,0.00435,0.00375,0.00390625
"(3, 2, 2, 2)",0.00501543209876543,0.00579,0.0075,0.00390625
"(3, 2, 2, 3)",0.009645061728395061,0.00574,0.01,0.00390625
"(3, 2, 3, 0)",0.0011574074074074078,0.0027,0.00125,0.00390625
"(3, 2, 3, 1)",0.00501543209876543,0.00441,0.0025,0.00390625
"(3, 2, 3, 2)",0.009645061728395061,0.00581,0.0125,0.00390625
"(3, 2, 3, 3)",0.00501543209876543,0.00504,0.00375,0.00390625
"(3, 3, 0, 0)",0.0034722222222222233,0.00325,0.0025,0.00390625
"(3, 3, 0, 1)",0.0011574074074074078,0.00238,0.0,0.00390625
"(3, 3, 0, 2)",0.0011574074074074078,0.00336,0.00625,0.00390625
"(3, 3, 0, 3)",0.0011574074074074078,0.00297,0.00125,0.00390625
"(3, 3, 1, 0)",0.0011574074074074078,0.0026,0.00125,0.00390625
"(3, 3, 1, 1)",0.00501543209876543,0.0034,0.0025,0.00390625
"(3, 3, 1, 2)",0.00501543209876543,0.00361,0.0,0.00390625
"(3, 3, 1, 3)",0.009645061728395061,0.00432,0.01,0.00390625
"(3, 3, 2, 0)",0.0011574074074074078,0.00285,0.0025,0.00390625
"(3, 3, 2, 1)",0.00501543209876543,0.00415,0.0025,0.00390625
"(3, 3, 2, 2)",0.009645061728395061,0.00545,0.0075,0.00390625
"(3, 3, 2, 3)",0.00501543209876543,0.00469,0.0025,0.00390625
"(3, 3, 3, 0)",0.0011574074074074078,0.00355,0.00375,0.00390625
"(3, 3, 3, 1)",0.009645061728395061,0.00433,0.00875,0.00390625
"(3, 3, 3, 2)",0.00501543209876543,0.00511,0.005,0.00390625
"(3, 3, 3, 3)",0.00501543209876543,0.0051,0.005,0.00390625
